"File","NeedsClient","HasUseClientTop","ServerOnlyImports","Action","Status"
".\.backup-20250915-182723\app\components\Navbar.tsx","True","True","False","none","Client OK"
".\.backup-20250915-182723\app\products\page.tsx","True","True","False","none","Client OK"
".\.backup-20250915-182723\app\reportes\page.backup.tsx","False","False","False","none","Server/No hooks"
".\.backup-20250915-182723\app\reportes\page.tsx","False","False","False","none","Server/No hooks"
".\.backup-20250915-182723\app\reports\top-products\page.tsx","True","True","False","none","Client OK"
".\.backup-20250915-182723\app\reports\page.tsx","True","True","False","none","Client OK"
".\.backup-20250915-182723\app\ventas\page.tsx","False","False","False","none","Server/No hooks"
".\.backup-20250915-182723\app\_components\ui\Button.tsx","False","True","False","none","Has 'use client' but no hooks (posible OK)"
".\.backup-20250915-182723\app\_components\ui\Card.tsx","False","False","False","none","Server/No hooks"
".\.backup-20250915-182723\app\_components\BrandTheme.tsx","True","True","False","none","Client OK"
".\.backup-20250915-182723\app\_components\HeaderNav.tsx","True","True","False","none","Client OK"
".\.backup-20250915-182723\app\head.tsx","False","False","False","none","Server/No hooks"
".\.backup-20250915-182723\app\layout.backup.tsx","True","False","False","fixed","FIXED: added/moved 'use client' to top"
".\.backup-20250915-182723\app\layout.broken.backup.tsx","True","False","False","fixed","FIXED: added/moved 'use client' to top"
".\.backup-20250915-182723\app\layout.tsx","False","False","False","none","Server/No hooks"
".\.backup-20250915-182723\app\page.tsx","True","True","False","none","Client OK"
".\.backup-20250915-182723\app\seo-jsonld.tsx","False","True","False","none","Has 'use client' but no hooks (posible OK)"
".\.backup-20250915-182723\components\ConfirmSaleButton.backup.tsx","True","True","False","none","Client OK"
".\.backup-20250915-182723\components\ConfirmSaleButton.tsx","True","True","False","none","Client OK"
".\.backup-20250915-182723\components\SalesBySale.tsx","True","True","False","none","Client OK"
".\.backup-20250915-182723\components\SalesDaily.tsx","True","True","False","none","Client OK"
".\.backup-20250915-182723\components\SalesPreview.tsx","True","True","False","none","Client OK"
".\.backup-20250918-193924\pages_products.tsx","True","True","False","none","Client OK"
".\.backup-20250918-193924\pages_products_index.tsx","True","True","False","none","Client OK"
".\app\components\Navbar.tsx","True","True","False","none","Client OK"
".\app\components\TopProducts.tsx","True","True","False","none","Client OK"
".\app\products\page.backup.tsx","True","True","False","none","Client OK"
".\app\products\page.tsx","True","True","False","none","Client OK"
".\app\reportes\page.backup.tsx","False","False","False","none","Server/No hooks"
".\app\reportes\page.tsx","False","False","False","none","Server/No hooks"
".\app\reports\top-products\page.tsx","True","True","False","none","Client OK"
".\app\reports\page.tsx","True","True","False","none","Client OK"
".\app\venta-test\page.tsx","True","True","False","none","Client OK"
".\app\ventas\page.tsx","True","True","False","none","Client OK"
".\app\_components\ui\Button.tsx","False","True","False","none","Has 'use client' but no hooks (posible OK)"
".\app\_components\ui\Card.tsx","False","False","False","none","Server/No hooks"
".\app\_components\BrandTheme.tsx","True","True","False","none","Client OK"
".\app\_components\HeaderNav.tsx","True","True","False","none","Client OK"
".\app\head.tsx","False","False","False","none","Server/No hooks"
".\app\layout.backup.tsx","True","False","False","fixed","FIXED: added/moved 'use client' to top"
".\app\layout.broken.backup.tsx","True","False","False","fixed","FIXED: added/moved 'use client' to top"
".\app\layout.tsx","False","False","False","none","Server/No hooks"
".\app\page.tsx","True","False","False","fixed","FIXED: added/moved 'use client' to top"
".\app\seo-jsonld.tsx","False","True","False","none","Has 'use client' but no hooks (posible OK)"
".\components\ConfirmSaleButton.backup.tsx","True","True","False","none","Client OK"
".\components\ConfirmSaleButton.tsx","True","True","False","none","Client OK"
".\components\SalesBySale.tsx","True","True","False","none","Client OK"
".\components\SalesDaily.tsx","True","True","False","none","Client OK"
".\components\SalesPreview.tsx","True","True","False","none","Client OK"
